name	length	AN_naive_hTSC	BT5_hTSC_1	BT5_hTSC_2	H9_naive_hTSC
AC004969.1	578	0	0	0	0
AC004972.1	2209	0	0	0	0
AC004973.1	635	0	0	0	1
AC004975.1	208	9	9	4	9
AC004975.2	565	2	0	0	0
AC004980.1	3110	14	14	15	6
AC004980.2	497	4	5	0	2
AC004980.3	365	0	1	1	0
AC004980.4	203	0	0	0	0
AC004982.1	1655	2	25	17	7
AC004982.2	1730	69	158	128	113
AC004986.1	607	0	0	0	0
AC004987.1	508	0	0	0	0
AC004987.2	1148	12	2	2	5
AC004987.3	771	7	5	2	4
AC004987.4	338	0	0	0	0
AC004988.1	1771	14	10	6	23
AC004990.1	2298	0	1	7	1
AC004994.1	313	0	0	0	0
AC004997.1	2057	0	0	3	0
AC005000.1	288	2	3	4	6
AC005000.2	310	3	0	0	2
AC005002.1	540	0	0	0	0
AC005002.2	269	3	0	0	1
AC005005.1	682	0	0	0	0
AC005005.2	380	1	0	1	0
AC005005.3	1410	5	9	4	0
AC005005.4	16698	9	12	7	8
AC005006.1	249	0	0	0	0
AC005008.1	612	0	0	0	0
AC005008.2	942	0	0	0	0
AC005009.1	269	0	0	0	0
AC005009.2	924	2	3	0	0
AC005011.1	210	0	0	0	0
AC005013.1	588	4	1	0	0
AC005014.1	2976	2	3	0	0
AC005014.2	599	56	19	19	31
AC005014.3	190	0	0	0	0
AC005017.1	490	1	1	0	1
AC005019.1	431	0	0	2	2
AC005019.2	359	0	0	0	4
AC005020.1	526	4	0	0	1
AC005020.2	830	0	0	0	0
AC005021.1	355	0	1	0	0
AC005033.1	813	1	2	1	0
AC005034.1	489	0	0	0	0
AC005034.2	414	9	3	1	10
AC005034.3	1747	188	151	111	170
AC005034.4	899	2	3	0	0
AC005034.5	466	11	5	4	12
AC005035.1	3841	2	218	144	24
AC005037.1	973	4	6	4	7
AC005040.1	482	0	0	0	0
AC005041.1	7033	0	1	1	2
AC005041.2	982	1	0	0	0
AC005041.3	649	3	2	4	6
AC005042.1	800	12	6	2	5
AC005042.2	510	0	0	0	0
AC005042.3	174	0	0	0	0
AC005046.1	625	116	82	56	119
AC005050.1	550	0	0	3	0
AC005052.1	2492	0	1	0	0
AC005056.1	532	0	0	0	0
AC005062.1	2564	22	12	2	14
AC005064.1	2725	0	0	0	0
AC005066.1	1007	0	0	0	0
AC005070.1	365	0	0	1	1
AC005070.2	260	0	1	1	1
AC005070.3	2646	68	32	27	91
AC005072.1	1779	173	58	73	117
AC005076.1	888	59	73	80	63
AC005077.1	375	0	0	0	0
AC005077.2	690	4	3	1	0
AC005077.3	370	0	0	0	0
AC005077.4	3495	0	0	0	0
AC005082.1	2259	0	6	0	3
AC005083.1	901	94	59	46	58
AC005084.1	304	0	0	0	0
AC005086.1	801	20	36	8	33
AC005086.2	228	7	3	3	5
AC005086.3	219	6	2	1	4
AC005086.4	213	1	2	0	0
AC005088.1	274	0	0	0	0
AC005089.1	2241	46	9	7	68
AC005090.1	575	0	0	0	0
AC005091.1	1190	1	0	0	3
AC005094.1	368	0	0	0	0
AC005096.1	622	14	24	4	24
