"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AN_naive_TSC","H9_naive_TSC","AN_EVT","H9_EVT"
"NPR1",273.212693172651,-6.24218697693769,0.563368102457211,-11.0801214156632,1.5665997562851e-28,3.68728111058262e-26,0.286627187456801,0.382312905144154,17.3867841090963,27.6049461351997
"NR1H3",1076.13101254868,1.72017829188548,0.407027638153347,4.22619530135544,2.37675729341262e-05,0.000276313482222043,77.18460690801,76.7015265945459,25.7530054949249,14.9010780150933
"NR2F2",1466.10845467307,1.29630600410601,0.312903352216645,4.14283194770148,3.43043320839797e-05,0.000381931053310101,103.677148377232,90.8471040848796,29.4453601847598,41.067850400847
"NR3C1",447.892287841444,-2.6418316874379,0.417108743833048,-6.33367611323756,2.39387771603288e-10,7.34925936803139e-09,5.60970352594025,5.92585002973439,22.2008668059697,42.5459734211109
"NRBP1",6119.89240430918,-1.31382724568883,0.292645673960655,-4.48948118011637,7.13968546693812e-06,9.4092357784324e-05,155.884243235435,171.132814165152,313.943625969892,410.27901130029
"NRIP1",2922.96134661585,-3.46851783962946,0.430352357126777,-8.05971614234164,7.64718151596157e-16,4.77184126596002e-14,21.6608260235211,23.4644545532224,129.419368812063,323.349398000443
"NRIP3",72.0014340858682,3.26421924524596,0.627164198527656,5.20472828791744,1.9428065813432e-07,3.61006829574797e-06,5.93727745446231,6.2125847085925,0.560864003519235,0.559289791451224
"NRK",145.906819552012,3.7002916452718,0.517597946884613,7.14896893920001,8.74321091389332e-13,3.85851702699976e-11,10.8508863822932,14.3367339429058,0.841296005278852,0.87888395799478
"NRP1",924.757807456359,3.98315653359546,0.461669537347869,8.62772223715973,6.2585846162504e-18,4.96835332613109e-16,50.610171956658,110.345062247231,4.58038936207375,4.47431833160979
"NRP2",73.3543878216035,2.61176662661212,0.67864870763405,3.84848095521678,0.000118852535020194,0.00115713034095132,4.29940781185202,7.40731253716798,0.560864003519235,1.15852885372039
"NRXN2",46.5468428599474,-3.7601087831141,0.849725704500476,-4.4250853695482,9.64041518507409e-06,0.000122172800743772,0.45041415171783,0.143367339429058,2.66410401671636,4.59416614406362
"NSMCE4A",465.011076160435,1.40185853996771,0.336690235404199,4.16364477658454,3.1320727057596e-05,0.00035340527687528,31.8975112898354,31.0151344298195,9.90859739550648,11.1857958290245
"NSUN7",170.713790412837,1.80955478534551,0.543014811237718,3.33242251941694,0.000860934393492188,0.00638843795524956,15.6416550869283,9.22329883660271,3.92604802463464,2.23715916580489
"NTAN1",297.118875117659,1.33957017705151,0.37391716235431,3.5825319400081,0.00034027999538035,0.00288571202150618,21.6608260235211,18.1120738812043,6.59015204135101,7.31071655968385
"NTN4",149.071940173032,-4.15203059349256,0.842701528080288,-4.92704766176356,8.34813966881972e-07,1.35264060141166e-05,1.39218919621875,0.0955782262860385,7.89883471622922,15.819911243906
"NUDCD2",1145.61582592319,1.34654969463659,0.36644578254638,3.67462189161956,0.000238201906373434,0.00209772902989412,86.561410611954,67.095914852799,30.5670881917983,22.2117945747772
"NUDT11",86.7575344325029,2.80073748986515,0.573573459285058,4.88296214639392,1.04503938685861e-06,1.67106655710311e-05,8.06650798985569,6.11700648230646,0.841296005278852,0.958782499630669
"NUDT4",293.22318205657,1.45949704004721,0.370014735468561,3.94442950548715,7.99901794244225e-05,0.000820449730243159,20.5143172736939,19.5935363886379,6.12276537175164,6.79137603905057
